Dataset,FeatureSelection,Number,Accuracy,Area,Power,bitwidth
wesad,disr,10,70,0.00056,0.003111,4
wesad,disr,15,59,0.00037,0.001909,4
wesad,disr,20,65,0.00069,0.003973,4
wesad,disr,25,67,0.00065,0.003733,4
wesad,disr,30,62,0.0007,0.003765,4
wesad,disr,5,69,0.00019,0.001053,4
wesad,disr,10,77,0.00132,0.007349,6
wesad,disr,15,80,0.00135,0.007431,6
wesad,disr,20,87,0.00125,0.006869,6
wesad,disr,25,86,0.00114,0.006206,6
wesad,disr,30,88,0.0012,0.006711,6
wesad,disr,5,71,0.00123,0.007026,6
wesad,disr,10,80,0.00185,0.01031,8
wesad,disr,15,81,0.00198,0.01111,8
wesad,disr,20,93,0.00183,0.009967,8
wesad,disr,25,94,0.00157,0.008742,8
wesad,disr,30,94,0.00179,0.009863,8
wesad,disr,5,78,0.00203,0.01195,8
wesad,disr,10,79,0.00255,0.0146,10
wesad,disr,15,82,0.00242,0.01334,10
wesad,disr,20,93,0.00203,0.011,10
wesad,disr,25,94,0.00193,0.01057,10
wesad,disr,30,94,0.0021,0.01148,10
wesad,disr,5,80,0.00276,0.01598,10
AffectiveROAD,disr,10,16,0.00076,0.002405,4
AffectiveROAD,disr,15,20,0.00175,0.00524,4
AffectiveROAD,disr,20,20,0.00078,0.00233,4
AffectiveROAD,disr,25,31,0.00167,0.004787,4
AffectiveROAD,disr,30,20,0.00128,0.00381,4
AffectiveROAD,disr,5,27,0.00103,0.003091,4
AffectiveROAD,disr,10,32,0.00223,0.006791,6
AffectiveROAD,disr,15,33,0.00466,0.01372,6
AffectiveROAD,disr,20,34,0.00362,0.01055,6
AffectiveROAD,disr,25,31,0.00393,0.01155,6
AffectiveROAD,disr,30,23,0.00325,0.009546,6
AffectiveROAD,disr,5,29,0.00294,0.009183,6
AffectiveROAD,disr,10,45,0.0036,0.01045,8
AffectiveROAD,disr,15,45,0.00667,0.01956,8
AffectiveROAD,disr,20,44,0.00612,0.01824,8
AffectiveROAD,disr,25,33,0.00524,0.01523,8
AffectiveROAD,disr,30,28,0.00454,0.0132,8
AffectiveROAD,disr,5,44,0.00636,0.01922,8
AffectiveROAD,disr,10,45,0.00416,0.01235,10
AffectiveROAD,disr,15,47,0.00853,0.02491,10
AffectiveROAD,disr,20,46,0.00779,0.02272,10
AffectiveROAD,disr,25,39,0.0066,0.01922,10
AffectiveROAD,disr,30,36,0.00559,0.01632,10
AffectiveROAD,disr,5,46,0.00804,0.0241,10
wesad,fisher_score,10,63,0.00164,0.009325,4
wesad,fisher_score,15,62,0.00124,0.007089,4
wesad,fisher_score,20,61,0.00141,0.007712,4
wesad,fisher_score,25,65,0.00124,0.006911,4
wesad,fisher_score,30,66,0.00083,0.004399,4
wesad,fisher_score,5,59,0.00072,0.004082,4
wesad,fisher_score,10,77,0.00262,0.01498,6
wesad,fisher_score,15,76,0.00193,0.01119,6
wesad,fisher_score,20,84,0.00246,0.01335,6
wesad,fisher_score,25,81,0.00216,0.01209,6
wesad,fisher_score,30,73,0.00121,0.006942,6
wesad,fisher_score,5,79,0.00147,0.008299,6
wesad,fisher_score,10,84,0.00419,0.02358,8
wesad,fisher_score,15,80,0.0026,0.01496,8
wesad,fisher_score,20,91,0.00355,0.0202,8
wesad,fisher_score,25,85,0.00299,0.01654,8
wesad,fisher_score,30,73,0.00168,0.009307,8
wesad,fisher_score,5,81,0.00201,0.01162,8
wesad,fisher_score,10,85,0.00536,0.03035,10
wesad,fisher_score,15,80,0.00331,0.0188,10
wesad,fisher_score,20,90,0.00445,0.0247,10
wesad,fisher_score,25,85,0.00389,0.02163,10
wesad,fisher_score,30,79,0.00216,0.0122,10
wesad,fisher_score,5,81,0.00249,0.01416,10
AffectiveROAD,fisher_score,10,27,0.00173,0.004901,4
AffectiveROAD,fisher_score,15,27,0.00145,0.004241,4
AffectiveROAD,fisher_score,20,11,0.00098,0.003046,4
