Dataset,FeatureSelection,Number,Accuracy,Area,Power,bitwidth
wesad,disr,10,70,0.00056,0.003111,4
wesad,disr,15,59,0.00037,0.001909,4
wesad,disr,20,65,0.00069,0.003973,4
wesad,disr,25,67,0.00065,0.003733,4
wesad,disr,30,62,0.0007,0.003765,4
wesad,disr,5,69,0.00019,0.001053,4
wesad,disr,10,77,0.00132,0.007349,6
wesad,disr,15,80,0.00135,0.007431,6
wesad,disr,20,87,0.00125,0.006869,6
wesad,disr,25,86,0.00114,0.006206,6
wesad,disr,30,88,0.0012,0.006711,6
wesad,disr,5,71,0.00123,0.007026,6
wesad,disr,10,80,0.00185,0.01031,8
wesad,disr,15,81,0.00198,0.01111,8
wesad,disr,20,93,0.00183,0.009967,8
wesad,disr,25,94,0.00157,0.008742,8
wesad,disr,30,94,0.00179,0.009863,8
wesad,disr,5,78,0.00203,0.01195,8
wesad,disr,10,79,0.00255,0.0146,10
wesad,disr,15,82,0.00242,0.01334,10
wesad,disr,20,93,0.00203,0.011,10
wesad,disr,25,94,0.00193,0.01057,10
wesad,disr,30,94,0.0021,0.01148,10
wesad,disr,5,80,0.00276,0.01598,10
wesad,fisher_score,10,63,0.00164,0.009325,4
wesad,fisher_score,15,62,0.00124,0.007089,4
wesad,fisher_score,20,61,0.00141,0.007712,4
wesad,fisher_score,25,65,0.00124,0.006911,4
wesad,fisher_score,30,66,0.00083,0.004399,4
wesad,fisher_score,5,59,0.00072,0.004082,4
wesad,fisher_score,10,77,0.00262,0.01498,6
wesad,fisher_score,15,76,0.00193,0.01119,6
wesad,fisher_score,20,84,0.00246,0.01335,6
wesad,fisher_score,25,81,0.00216,0.01209,6
wesad,fisher_score,30,73,0.00121,0.006942,6
wesad,fisher_score,5,79,0.00147,0.008299,6
wesad,fisher_score,10,84,0.00419,0.02358,8
wesad,fisher_score,15,80,0.0026,0.01496,8
wesad,fisher_score,20,91,0.00355,0.0202,8
wesad,fisher_score,25,85,0.00299,0.01654,8
wesad,fisher_score,30,73,0.00168,0.009307,8
wesad,fisher_score,5,81,0.00201,0.01162,8
wesad,fisher_score,10,85,0.00536,0.03035,10
wesad,fisher_score,15,80,0.00331,0.0188,10
wesad,fisher_score,20,90,0.00445,0.0247,10
wesad,fisher_score,25,85,0.00389,0.02163,10
wesad,fisher_score,30,79,0.00216,0.0122,10
wesad,fisher_score,5,81,0.00249,0.01416,10
wesad,jmi,10,55,0.00068,0.00374,4
wesad,jmi,15,55,0.00087,0.004862,4
wesad,jmi,20,56,0.00054,0.002872,4
wesad,jmi,25,69,0.00161,0.008565,4
wesad,jmi,30,59,0.00065,0.003624,4
wesad,jmi,5,53,0.00038,0.001932,4
wesad,jmi,10,71,0.00155,0.008411,6
wesad,jmi,15,69,0.00148,0.008166,6
wesad,jmi,20,68,0.00107,0.005823,6
wesad,jmi,25,79,0.00224,0.01198,6
wesad,jmi,30,69,0.00112,0.005893,6
wesad,jmi,5,69,0.001,0.00557,6
wesad,jmi,10,81,0.00323,0.0182,8
wesad,jmi,15,77,0.00251,0.01419,8
wesad,jmi,20,77,0.00209,0.01166,8
wesad,jmi,25,81,0.00325,0.01761,8
wesad,jmi,30,81,0.00149,0.008157,8
wesad,jmi,5,76,0.00205,0.01187,8
wesad,jmi,10,84,0.00484,0.02712,10
wesad,jmi,15,79,0.00311,0.01725,10
wesad,jmi,20,77,0.0026,0.01435,10
wesad,jmi,25,79,0.00421,0.02294,10
wesad,jmi,30,78,0.00183,0.009887,10
wesad,jmi,5,78,0.00278,0.01584,10
