Dataset,FeatureSelection,Number,Accuracy,Area,Power,bitwidth
wesad,disr,10,80,5.63902,30.7,8
wesad,disr,15,86,5.56323,30.4,8
wesad,disr,20,86,6.22972,34.0,8
wesad,disr,25,90,5.87967,32.1,8
wesad,disr,30,86,7.07329,38.6,8
wesad,disr,5,73,3.01475,16.5,8
AffectiveROAD,disr,10,55,0.31934,0.9282,4
AffectiveROAD,disr,15,52,0.42046,1.219,4
AffectiveROAD,disr,20,53,1.12452,3.278,4
AffectiveROAD,disr,25,52,0.30704,0.8889,4
AffectiveROAD,disr,30,55,0.98921,2.888,4
AffectiveROAD,disr,5,46,0.23316,0.6808,4
AffectiveROAD,disr,10,70,2.41956,6.931,6
AffectiveROAD,disr,15,55,3.00407,8.6,6
AffectiveROAD,disr,20,78,4.78681,13.7,6
AffectiveROAD,disr,25,57,1.5443,4.383,6
AffectiveROAD,disr,30,64,5.1809,14.7,6
AffectiveROAD,disr,5,62,1.62097,4.645,6
AffectiveROAD,disr,10,79,5.50166,15.8,8
AffectiveROAD,disr,15,82,6.8613,19.6,8
AffectiveROAD,disr,20,89,9.72076,27.8,8
AffectiveROAD,disr,25,92,4.16961,11.9,8
AffectiveROAD,disr,30,94,10.95429,31.2,8
AffectiveROAD,disr,5,73,3.74759,10.7,8
AffectiveROAD,disr,10,85,9.67259,27.7,10
AffectiveROAD,disr,15,90,11.9907,34.3,10
AffectiveROAD,disr,20,92,16.03033,45.7,10
AffectiveROAD,disr,25,90,7.12528,20.4,10
AffectiveROAD,disr,30,94,18.30703,52.4,10
AffectiveROAD,disr,5,71,6.60836,18.9,10
wesad,fisher_score,10,75,3.25261,17.7,8
wesad,fisher_score,15,81,3.77943,20.6,8
wesad,fisher_score,20,88,5.57266,30.5,8
wesad,fisher_score,25,89,5.41327,29.4,8
wesad,fisher_score,30,91,5.96356,32.5,8
wesad,fisher_score,5,67,2.96142,16.2,8
AffectiveROAD,fisher_score,10,52,0.27339,0.7934,4
AffectiveROAD,fisher_score,15,57,0.99951,2.922,4
AffectiveROAD,fisher_score,20,52,0.57337,1.68,4
AffectiveROAD,fisher_score,25,53,1.60828,4.561,4
AffectiveROAD,fisher_score,30,52,1.01103,2.95,4
AffectiveROAD,fisher_score,5,52,0.21304,0.6214,4
AffectiveROAD,fisher_score,10,60,2.53998,7.256,6
AffectiveROAD,fisher_score,15,72,4.18073,11.9,6
AffectiveROAD,fisher_score,20,58,2.98042,8.458,6
AffectiveROAD,fisher_score,25,82,6.18401,17.7,6
AffectiveROAD,fisher_score,30,79,4.90546,13.9,6
AffectiveROAD,fisher_score,5,54,1.98846,5.703,6
AffectiveROAD,fisher_score,10,69,5.71313,16.3,8
AffectiveROAD,fisher_score,15,83,8.40205,23.9,8
AffectiveROAD,fisher_score,20,71,8.22751,23.5,8
AffectiveROAD,fisher_score,25,91,11.79999,33.7,8
AffectiveROAD,fisher_score,30,95,10.33018,29.3,8
AffectiveROAD,fisher_score,5,72,4.71053,13.5,8
AffectiveROAD,fisher_score,10,77,10.22252,29.2,10
AffectiveROAD,fisher_score,15,84,13.69624,39.2,10
AffectiveROAD,fisher_score,20,89,14.06937,40.3,10
AffectiveROAD,fisher_score,25,93,18.77155,53.7,10
AffectiveROAD,fisher_score,30,96,17.12857,49.0,10
AffectiveROAD,fisher_score,5,76,8.65219,24.9,10
wesad,jmi,10,78,5.02115,27.4,8
wesad,jmi,15,81,4.29817,23.5,8
wesad,jmi,20,84,5.93174,32.3,8
wesad,jmi,25,86,6.34814,34.6,8
wesad,jmi,30,85,6.75206,36.9,8
wesad,jmi,5,72,4.43394,24.2,8
AffectiveROAD,jmi,10,46,0.77775,2.271,4
AffectiveROAD,jmi,15,53,0.34307,1.001,4
AffectiveROAD,jmi,20,52,0.93206,2.731,4
AffectiveROAD,jmi,25,52,0.88001,2.574,4
AffectiveROAD,jmi,30,52,0.71955,2.107,4
AffectiveROAD,jmi,5,47,0.25964,0.7611,4
AffectiveROAD,jmi,10,64,3.53843,10.1,6
AffectiveROAD,jmi,15,60,2.39199,6.869,6
AffectiveROAD,jmi,20,73,4.29655,12.4,6
AffectiveROAD,jmi,25,83,4.71993,13.5,6
AffectiveROAD,jmi,30,87,3.64969,10.5,6
AffectiveROAD,jmi,5,61,2.17107,6.202,6
AffectiveROAD,jmi,10,76,7.04317,20.2,8
AffectiveROAD,jmi,15,78,5.75944,16.5,8
AffectiveROAD,jmi,20,85,8.77847,25.2,8
AffectiveROAD,jmi,25,97,9.94464,28.3,8
AffectiveROAD,jmi,30,98,8.1179,23.1,8
AffectiveROAD,jmi,5,73,5.11054,14.6,8
AffectiveROAD,jmi,10,74,11.592,33.3,10
AffectiveROAD,jmi,15,82,10.11351,28.9,10
AffectiveROAD,jmi,20,86,14.43447,41.4,10
AffectiveROAD,jmi,25,97,16.38764,46.6,10
AffectiveROAD,jmi,30,98,13.94711,39.9,10
AffectiveROAD,jmi,5,73,9.20427,26.4,10
