Dataset,FeatureSelection,Number,Accuracy,Area,Power,bitwidth
wesad,disr,10,50,0.00766,0.04453,4
wesad,disr,15,50,0.00964,0.05459,4
wesad,disr,20,50,0.01227,0.06892,4
wesad,disr,25,50,0.01346,0.07548,4
wesad,disr,30,50,0.01521,0.08611,4
wesad,disr,5,66,0.0007,0.003956,4
wesad,disr,10,69,0.00624,0.03606,6
wesad,disr,15,60,0.01047,0.06026,6
wesad,disr,20,55,0.01193,0.06719,6
wesad,disr,25,80,0.01422,0.08008,6
wesad,disr,30,79,0.01674,0.09345,6
wesad,disr,5,65,0.00219,0.0123,6
wesad,disr,10,67,0.00961,0.05551,8
wesad,disr,15,70,0.01183,0.06761,8
wesad,disr,20,52,0.01272,0.07224,8
wesad,disr,25,83,0.01616,0.09145,8
wesad,disr,30,78,0.01993,0.1113,8
wesad,disr,5,65,0.00336,0.0192,8
wesad,disr,10,69,0.01216,0.06913,10
wesad,disr,15,69,0.01365,0.07787,10
wesad,disr,20,73,0.01431,0.08063,10
wesad,disr,25,85,0.02083,0.117,10
wesad,disr,30,78,0.02764,0.1545,10
wesad,disr,5,66,0.00419,0.0234,10
AffectiveROAD,disr,10,15,0.00416,0.01221,4
AffectiveROAD,disr,15,16,0.01791,0.05209,4
AffectiveROAD,disr,20,52,0.02396,0.07098,4
AffectiveROAD,disr,25,15,0.02907,0.08428,4
AffectiveROAD,disr,30,15,0.04288,0.125,4
AffectiveROAD,disr,5,52,0.00165,0.005018,4
AffectiveROAD,disr,10,52,0.00757,0.02254,6
AffectiveROAD,disr,15,44,0.02683,0.07878,6
AffectiveROAD,disr,20,48,0.02544,0.07453,6
AffectiveROAD,disr,25,15,0.03128,0.09025,6
AffectiveROAD,disr,30,18,0.07081,0.2062,6
AffectiveROAD,disr,5,46,0.00234,0.007337,6
AffectiveROAD,disr,10,47,0.01414,0.04217,8
AffectiveROAD,disr,15,46,0.03249,0.09571,8
AffectiveROAD,disr,20,39,0.04358,0.1282,8
AffectiveROAD,disr,25,16,0.06477,0.1876,8
AffectiveROAD,disr,30,31,0.08725,0.2529,8
AffectiveROAD,disr,5,52,0.00588,0.01788,8
AffectiveROAD,disr,10,47,0.02318,0.06812,10
AffectiveROAD,disr,15,51,0.03972,0.1157,10
AffectiveROAD,disr,20,41,0.04615,0.1367,10
AffectiveROAD,disr,25,49,0.07043,0.2069,10
AffectiveROAD,disr,30,60,0.09218,0.2656,10
AffectiveROAD,disr,5,52,0.00771,0.02385,10
wesad,fisher_score,10,48,0.00369,0.02088,4
wesad,fisher_score,15,49,0.0071,0.04088,4
wesad,fisher_score,20,66,0.00736,0.04166,4
wesad,fisher_score,25,63,0.01308,0.0736,4
wesad,fisher_score,30,58,0.01571,0.0881,4
wesad,fisher_score,5,56,0.00081,0.004728,4
wesad,fisher_score,10,68,0.00325,0.01824,6
wesad,fisher_score,15,59,0.01029,0.05929,6
wesad,fisher_score,20,68,0.01154,0.06521,6
wesad,fisher_score,25,61,0.01381,0.07812,6
wesad,fisher_score,30,52,0.01396,0.07876,6
wesad,fisher_score,5,60,0.00175,0.00969,6
wesad,fisher_score,10,65,0.00664,0.03833,8
wesad,fisher_score,15,59,0.01271,0.07287,8
wesad,fisher_score,20,68,0.01539,0.08647,8
wesad,fisher_score,25,62,0.01611,0.08928,8
wesad,fisher_score,30,70,0.01979,0.1093,8
wesad,fisher_score,5,59,0.00285,0.01642,8
wesad,fisher_score,10,65,0.01012,0.05818,10
wesad,fisher_score,15,59,0.01432,0.08115,10
wesad,fisher_score,20,69,0.0194,0.1082,10
wesad,fisher_score,25,62,0.02064,0.1145,10
wesad,fisher_score,30,70,0.02396,0.1324,10
wesad,fisher_score,5,61,0.00393,0.02291,10
AffectiveROAD,fisher_score,10,38,0.01572,0.04431,4
AffectiveROAD,fisher_score,15,49,0.02121,0.06146,4
AffectiveROAD,fisher_score,20,16,0.02829,0.08215,4
AffectiveROAD,fisher_score,25,15,0.03241,0.09406,4
AffectiveROAD,fisher_score,30,15,0.04912,0.1439,4
AffectiveROAD,fisher_score,5,46,0.00308,0.008947,4
AffectiveROAD,fisher_score,10,54,0.01953,0.05491,6
AffectiveROAD,fisher_score,15,39,0.02984,0.08671,6
AffectiveROAD,fisher_score,20,38,0.04574,0.1315,6
AffectiveROAD,fisher_score,25,16,0.05583,0.163,6
AffectiveROAD,fisher_score,30,27,0.06861,0.201,6
AffectiveROAD,fisher_score,5,54,0.00519,0.01511,6
AffectiveROAD,fisher_score,10,62,0.0217,0.06233,8
AffectiveROAD,fisher_score,15,54,0.03837,0.1112,8
AffectiveROAD,fisher_score,20,60,0.05271,0.1494,8
AffectiveROAD,fisher_score,25,45,0.06729,0.1967,8
AffectiveROAD,fisher_score,30,52,0.08273,0.2409,8
AffectiveROAD,fisher_score,5,54,0.00633,0.01828,8
AffectiveROAD,fisher_score,10,63,0.02499,0.07164,10
AffectiveROAD,fisher_score,15,56,0.04263,0.1231,10
AffectiveROAD,fisher_score,20,65,0.06529,0.1882,10
AffectiveROAD,fisher_score,25,54,0.07428,0.2154,10
AffectiveROAD,fisher_score,30,54,0.09082,0.2638,10
AffectiveROAD,fisher_score,5,54,0.00669,0.01942,10
wesad,jmi,10,58,0.00301,0.01674,4
wesad,jmi,15,64,0.00591,0.03298,4
wesad,jmi,20,66,0.00749,0.04197,4
wesad,jmi,25,70,0.0094,0.05245,4
wesad,jmi,30,56,0.0124,0.06941,4
wesad,jmi,5,60,0.00071,0.004141,4
wesad,jmi,10,67,0.00647,0.03664,6
wesad,jmi,15,63,0.01059,0.06027,6
wesad,jmi,20,64,0.01208,0.06814,6
wesad,jmi,25,69,0.01371,0.07749,6
wesad,jmi,30,72,0.01451,0.08175,6
wesad,jmi,5,60,0.00118,0.006473,6
wesad,jmi,10,64,0.0093,0.0532,8
wesad,jmi,15,63,0.0126,0.071,8
wesad,jmi,20,66,0.01443,0.08156,8
wesad,jmi,25,69,0.01688,0.09516,8
wesad,jmi,30,71,0.01894,0.1061,8
wesad,jmi,5,60,0.00288,0.01571,8
wesad,jmi,10,65,0.01058,0.05996,10
wesad,jmi,15,64,0.01499,0.08376,10
wesad,jmi,20,67,0.01707,0.09513,10
wesad,jmi,25,69,0.02086,0.117,10
wesad,jmi,30,73,0.02519,0.1397,10
wesad,jmi,5,60,0.00399,0.02166,10
AffectiveROAD,jmi,10,27,0.01288,0.03755,4
AffectiveROAD,jmi,15,44,0.01719,0.05043,4
AffectiveROAD,jmi,20,35,0.0332,0.09704,4
AffectiveROAD,jmi,25,54,0.04326,0.1268,4
AffectiveROAD,jmi,30,33,0.04107,0.1215,4
AffectiveROAD,jmi,5,52,0.0,0.0,4
AffectiveROAD,jmi,10,55,0.01334,0.03831,6
AffectiveROAD,jmi,15,35,0.02525,0.07372,6
AffectiveROAD,jmi,20,39,0.03805,0.1115,6
AffectiveROAD,jmi,25,34,0.04609,0.1368,6
AffectiveROAD,jmi,30,33,0.05704,0.1675,6
AffectiveROAD,jmi,5,52,0.0,0.0,6
AffectiveROAD,jmi,10,55,0.01561,0.04566,8
AffectiveROAD,jmi,15,51,0.03099,0.09124,8
AffectiveROAD,jmi,20,60,0.05085,0.1497,8
AffectiveROAD,jmi,25,34,0.05454,0.1596,8
AffectiveROAD,jmi,30,52,0.07836,0.2304,8
AffectiveROAD,jmi,5,15,0.0,0.0,8
AffectiveROAD,jmi,10,62,0.02254,0.06523,10
AffectiveROAD,jmi,15,57,0.04372,0.1276,10
AffectiveROAD,jmi,20,56,0.05917,0.1736,10
AffectiveROAD,jmi,25,58,0.06083,0.1794,10
AffectiveROAD,jmi,30,45,0.09578,0.2838,10
AffectiveROAD,jmi,5,45,0.00019,0.0006957,10
