Dataset,FeatureSelection,PruneMethod,Number,Accuracy,Area,Power,bitwidth,sparsity_rate
wesad,disr,l2,10,70,0.8459,4.635,4,0.2
wesad,disr,l2,10,64,0.75859,4.143,4,0.5
wesad,disr,l2,10,65,0.9744,5.32,4,0.9
wesad,disr,l2,10,62,0.94032,5.136,4,0.2
wesad,disr,l2,10,58,0.77468,4.26,4,0.5
wesad,disr,l2,10,55,0.78609,4.312,4,0.9
wesad,disr,l2,10,56,0.9074,4.963,4,0.2
wesad,disr,l2,10,77,0.99626,5.445,4,0.5
wesad,disr,l2,10,77,0.96347,5.261,4,0.9
wesad,disr,l2,10,52,0.60218,3.298,4,0.2
wesad,disr,l2,10,65,0.68522,3.758,4,0.5
wesad,disr,l2,10,65,0.65815,3.606,4,0.9
wesad,disr,l2,10,64,1.00565,5.505,4,0.2
wesad,disr,l2,10,61,0.99422,5.427,4,0.5
wesad,disr,l2,10,73,1.09444,5.984,4,0.9
wesad,disr,l2,10,61,0.60737,3.354,4,0.2
wesad,disr,l2,10,62,0.56084,3.065,4,0.5
wesad,disr,l2,10,56,0.15628,0.876,4,0.9
wesad,disr,l2,10,80,2.48542,13.6,6,0.2
wesad,disr,l2,10,73,2.18916,11.9,6,0.5
wesad,disr,l2,10,81,2.70355,14.7,6,0.9
wesad,disr,l2,10,81,2.73083,14.9,6,0.2
wesad,disr,l2,10,85,2.34529,12.8,6,0.5
wesad,disr,l2,10,88,2.3018,12.5,6,0.9
wesad,disr,l2,10,85,2.62674,14.3,6,0.2
wesad,disr,l2,10,82,2.97877,16.3,6,0.5
wesad,disr,l2,10,85,2.78335,15.2,6,0.9
wesad,disr,l2,10,90,2.18313,11.9,6,0.2
wesad,disr,l2,10,87,2.43112,13.3,6,0.5
wesad,disr,l2,10,88,2.27929,12.5,6,0.9
wesad,disr,l2,10,86,3.01596,16.5,6,0.2
wesad,disr,l2,10,90,2.92305,16.0,6,0.5
wesad,disr,l2,10,86,3.27635,17.9,6,0.9
wesad,disr,l2,10,79,1.81747,9.934,6,0.2
wesad,disr,l2,10,80,1.79284,9.787,6,0.5
wesad,disr,l2,10,72,1.02481,5.597,6,0.9
wesad,disr,l2,10,79,5.23066,28.4,8,0.2
wesad,disr,l2,10,81,4.49917,24.6,8,0.5
wesad,disr,l2,10,81,5.57483,30.5,8,0.9
wesad,disr,l2,10,86,6.20154,33.9,8,0.2
wesad,disr,l2,10,89,5.19403,28.4,8,0.5
wesad,disr,l2,10,90,5.22427,28.5,8,0.9
wesad,disr,l2,10,85,5.67712,30.9,8,0.2
wesad,disr,l2,10,85,6.06887,33.0,8,0.5
wesad,disr,l2,10,87,5.6989,31.1,8,0.9
wesad,disr,l2,10,87,5.03054,27.4,8,0.2
wesad,disr,l2,10,90,5.57389,30.3,8,0.5
wesad,disr,l2,10,90,5.29579,28.9,8,0.9
wesad,disr,l2,10,86,6.57594,35.9,8,0.2
wesad,disr,l2,10,92,6.4789,35.3,8,0.5
wesad,disr,l2,10,91,6.94178,37.8,8,0.9
wesad,disr,l2,10,81,4.07172,22.2,8,0.2
wesad,disr,l2,10,76,4.0302,22.0,8,0.5
wesad,disr,l2,10,76,2.60132,14.2,8,0.9
wesad,disr,l2,10,78,9.2773,50.7,10,0.2
wesad,disr,l2,10,82,7.78196,42.6,10,0.5
wesad,disr,l2,10,81,9.56972,52.2,10,0.9
wesad,disr,l2,10,85,10.23787,56.0,10,0.2
wesad,disr,l2,10,89,8.82685,48.2,10,0.5
wesad,disr,l2,10,89,8.54421,46.7,10,0.9
wesad,disr,l2,10,85,10.26771,56.1,10,0.2
wesad,disr,l2,10,86,10.54864,57.5,10,0.5
wesad,disr,l2,10,87,9.63465,52.4,10,0.9
wesad,disr,l2,10,86,8.77366,47.9,10,0.2
wesad,disr,l2,10,90,9.90734,54.1,10,0.5
wesad,disr,l2,10,90,9.21533,50.3,10,0.9
wesad,disr,l2,10,89,10.85562,59.1,10,0.2
wesad,disr,l2,10,91,10.56865,57.7,10,0.5
wesad,disr,l2,10,89,11.84179,64.6,10,0.9
wesad,disr,l2,10,81,6.94893,38.0,10,0.2
wesad,disr,l2,10,75,6.81027,37.2,10,0.5
wesad,disr,l2,10,80,5.19678,28.4,10,0.9
wesad,fisher_score,l2,10,52,0.59475,3.259,4,0.2
wesad,fisher_score,l2,10,68,0.52998,2.965,4,0.5
wesad,fisher_score,l2,10,71,1.15,6.29,4,0.9
wesad,fisher_score,l2,10,56,0.5845,3.21,4,0.2
wesad,fisher_score,l2,10,52,0.65014,3.568,4,0.5
wesad,fisher_score,l2,10,50,0.72397,3.973,4,0.9
wesad,fisher_score,l2,10,54,0.90612,4.97,4,0.2
wesad,fisher_score,l2,10,49,0.73481,4.023,4,0.5
wesad,fisher_score,l2,10,51,0.74267,4.063,4,0.9
wesad,fisher_score,l2,10,52,0.75632,4.145,4,0.2
wesad,fisher_score,l2,10,52,0.74374,4.073,4,0.5
wesad,fisher_score,l2,10,72,0.72087,3.961,4,0.9
wesad,fisher_score,l2,10,49,0.94167,5.133,4,0.2
wesad,fisher_score,l2,10,49,0.92477,5.068,4,0.5
wesad,fisher_score,l2,10,52,0.8687,4.754,4,0.9
wesad,fisher_score,l2,10,57,0.43671,2.432,4,0.2
wesad,fisher_score,l2,10,67,0.56958,3.125,4,0.5
wesad,fisher_score,l2,10,50,0.39584,2.208,4,0.9
wesad,fisher_score,l2,10,69,1.7185,9.368,6,0.2
wesad,fisher_score,l2,10,73,1.69301,9.263,6,0.5
wesad,fisher_score,l2,10,77,2.74017,15.0,6,0.9
wesad,fisher_score,l2,10,82,1.77049,9.69,6,0.2
wesad,fisher_score,l2,10,83,1.99758,10.9,6,0.5
wesad,fisher_score,l2,10,80,2.26649,12.4,6,0.9
wesad,fisher_score,l2,10,88,2.62861,14.3,6,0.2
wesad,fisher_score,l2,10,75,2.15547,11.8,6,0.5
wesad,fisher_score,l2,10,73,2.34702,12.8,6,0.9
wesad,fisher_score,l2,10,93,2.35818,12.9,6,0.2
wesad,fisher_score,l2,10,83,2.43739,13.3,6,0.5
wesad,fisher_score,l2,10,82,2.31606,12.7,6,0.9
wesad,fisher_score,l2,10,88,2.88034,15.7,6,0.2
wesad,fisher_score,l2,10,89,2.86605,15.7,6,0.5
wesad,fisher_score,l2,10,90,2.65505,14.5,6,0.9
wesad,fisher_score,l2,10,65,1.49942,8.19,6,0.2
wesad,fisher_score,l2,10,67,1.66913,9.128,6,0.5
wesad,fisher_score,l2,10,66,1.41067,7.72,6,0.9
wesad,fisher_score,l2,10,77,3.56913,19.4,8,0.2
wesad,fisher_score,l2,10,75,3.72289,20.3,8,0.5
wesad,fisher_score,l2,10,77,5.43308,29.6,8,0.9
wesad,fisher_score,l2,10,80,4.05312,22.1,8,0.2
wesad,fisher_score,l2,10,83,4.65476,25.4,8,0.5
wesad,fisher_score,l2,10,84,5.02125,27.4,8,0.9
wesad,fisher_score,l2,10,88,5.7326,31.3,8,0.2
wesad,fisher_score,l2,10,85,4.78531,26.1,8,0.5
wesad,fisher_score,l2,10,87,5.16214,28.2,8,0.9
wesad,fisher_score,l2,10,92,5.29133,28.8,8,0.2
wesad,fisher_score,l2,10,90,5.51095,30.1,8,0.5
wesad,fisher_score,l2,10,90,5.19794,28.4,8,0.9
wesad,fisher_score,l2,10,87,6.28358,34.2,8,0.2
wesad,fisher_score,l2,10,90,6.16076,33.7,8,0.5
wesad,fisher_score,l2,10,89,5.85516,31.9,8,0.9
wesad,fisher_score,l2,10,69,3.31522,18.1,8,0.2
wesad,fisher_score,l2,10,73,3.72485,20.3,8,0.5
wesad,fisher_score,l2,10,69,3.06255,16.7,8,0.9
wesad,fisher_score,l2,10,76,6.15411,33.6,10,0.2
wesad,fisher_score,l2,10,76,6.67051,36.4,10,0.5
wesad,fisher_score,l2,10,77,8.94296,48.9,10,0.9
wesad,fisher_score,l2,10,81,7.00064,38.2,10,0.2
wesad,fisher_score,l2,10,82,7.56715,41.4,10,0.5
wesad,fisher_score,l2,10,82,8.60779,47.0,10,0.9
wesad,fisher_score,l2,10,87,9.55683,52.2,10,0.2
wesad,fisher_score,l2,10,84,8.25913,45.1,10,0.5
wesad,fisher_score,l2,10,86,8.46868,46.1,10,0.9
wesad,fisher_score,l2,10,92,8.87579,48.4,10,0.2
wesad,fisher_score,l2,10,90,9.48719,51.8,10,0.5
wesad,fisher_score,l2,10,94,8.84484,48.3,10,0.9
wesad,fisher_score,l2,10,89,10.51979,57.3,10,0.2
wesad,fisher_score,l2,10,89,10.05139,54.8,10,0.5
wesad,fisher_score,l2,10,90,9.78917,53.4,10,0.9
wesad,fisher_score,l2,10,69,5.93199,32.4,10,0.2
wesad,fisher_score,l2,10,73,6.60288,36.0,10,0.5
wesad,fisher_score,l2,10,69,5.55722,30.3,10,0.9
wesad,jmi,l2,10,69,0.74223,4.054,4,0.2
wesad,jmi,l2,10,54,0.84122,4.612,4,0.5
wesad,jmi,l2,10,65,0.90978,4.988,4,0.9
wesad,jmi,l2,10,50,0.29767,1.664,4,0.2
wesad,jmi,l2,10,56,0.94503,5.184,4,0.5
wesad,jmi,l2,10,63,0.86236,4.727,4,0.9
wesad,jmi,l2,10,63,1.14007,6.22,4,0.2
wesad,jmi,l2,10,65,1.09557,6.003,4,0.5
wesad,jmi,l2,10,73,1.23732,6.766,4,0.9
wesad,jmi,l2,10,51,1.15339,6.326,4,0.2
wesad,jmi,l2,10,56,1.15697,6.352,4,0.5
wesad,jmi,l2,10,65,1.05292,5.772,4,0.9
wesad,jmi,l2,10,81,0.95397,5.21,4,0.2
wesad,jmi,l2,10,74,0.99207,5.449,4,0.5
wesad,jmi,l2,10,72,1.06393,5.834,4,0.9
wesad,jmi,l2,10,69,0.56555,3.099,4,0.2
wesad,jmi,l2,10,62,0.44142,2.46,4,0.5
wesad,jmi,l2,10,62,0.43263,2.407,4,0.9
wesad,jmi,l2,10,73,2.13245,11.6,6,0.2
wesad,jmi,l2,10,77,2.34482,12.8,6,0.5
wesad,jmi,l2,10,77,2.38139,13.0,6,0.9
wesad,jmi,l2,10,74,1.62972,8.934,6,0.2
wesad,jmi,l2,10,83,2.74945,15.0,6,0.5
wesad,jmi,l2,10,81,2.48552,13.6,6,0.9
wesad,jmi,l2,10,82,3.23432,17.7,6,0.2
wesad,jmi,l2,10,86,3.06934,16.7,6,0.5
wesad,jmi,l2,10,81,3.29381,18.0,6,0.9
wesad,jmi,l2,10,87,3.5298,19.3,6,0.2
wesad,jmi,l2,10,88,3.42405,18.7,6,0.5
wesad,jmi,l2,10,85,3.19824,17.5,6,0.9
wesad,jmi,l2,10,83,2.91514,16.0,6,0.2
wesad,jmi,l2,10,87,3.01167,16.5,6,0.5
wesad,jmi,l2,10,87,3.24279,17.7,6,0.9
wesad,jmi,l2,10,76,1.6405,8.963,6,0.2
wesad,jmi,l2,10,69,1.52552,8.344,6,0.5
wesad,jmi,l2,10,69,1.45982,7.987,6,0.9
wesad,jmi,l2,10,74,4.51906,24.6,8,0.2
wesad,jmi,l2,10,76,4.98006,27.2,8,0.5
wesad,jmi,l2,10,79,4.98738,27.2,8,0.9
wesad,jmi,l2,10,85,4.08324,22.3,8,0.2
wesad,jmi,l2,10,82,6.08239,33.2,8,0.5
wesad,jmi,l2,10,81,5.38241,29.3,8,0.9
wesad,jmi,l2,10,84,6.44193,35.1,8,0.2
wesad,jmi,l2,10,86,6.44458,35.2,8,0.5
wesad,jmi,l2,10,81,6.63944,36.2,8,0.9
wesad,jmi,l2,10,88,7.36258,40.2,8,0.2
wesad,jmi,l2,10,89,7.05042,38.5,8,0.5
wesad,jmi,l2,10,90,6.79377,37.1,8,0.9
wesad,jmi,l2,10,88,6.24158,34.1,8,0.2
wesad,jmi,l2,10,88,6.55933,35.7,8,0.5
wesad,jmi,l2,10,89,6.89858,37.6,8,0.9
wesad,jmi,l2,10,75,3.45877,18.9,8,0.2
wesad,jmi,l2,10,68,3.35932,18.3,8,0.5
wesad,jmi,l2,10,71,3.13864,17.1,8,0.9
wesad,jmi,l2,10,75,8.03235,43.8,10,0.2
wesad,jmi,l2,10,77,8.7737,47.9,10,0.5
wesad,jmi,l2,10,79,8.39498,45.8,10,0.9
wesad,jmi,l2,10,85,7.66881,41.9,10,0.2
wesad,jmi,l2,10,84,9.77867,53.5,10,0.5
wesad,jmi,l2,10,78,8.85887,48.4,10,0.9
wesad,jmi,l2,10,85,10.91038,59.4,10,0.2
wesad,jmi,l2,10,85,11.01374,60.0,10,0.5
wesad,jmi,l2,10,81,11.38721,62.2,10,0.9
wesad,jmi,l2,10,86,11.91523,65.1,10,0.2
wesad,jmi,l2,10,90,11.64262,63.7,10,0.5
wesad,jmi,l2,10,90,11.00285,60.2,10,0.9
wesad,jmi,l2,10,86,10.13192,55.3,10,0.2
wesad,jmi,l2,10,89,11.05339,60.4,10,0.5
wesad,jmi,l2,10,89,11.56871,63.2,10,0.9
wesad,jmi,l2,10,75,5.98703,32.7,10,0.2
wesad,jmi,l2,10,69,5.9378,32.4,10,0.5
wesad,jmi,l2,10,72,5.52117,30.2,10,0.9
