Dataset,FeatureSelection,PruneMethod,Number,Accuracy,Area,Power,bitwidth,sparsity_rate
AffectiveROAD,disr,l2,10,52.0,0.329,0.9539,4,0.2
AffectiveROAD,disr,l2,10,52.0,0.34228,0.9959,4,0.5
AffectiveROAD,disr,l2,10,33.0,0.35864,1.043,4,0.9
AffectiveROAD,disr,l2,10,52.0,0.42048,1.219,4,0.2
AffectiveROAD,disr,l2,10,57.0,0.34019,0.9929,4,0.5
AffectiveROAD,disr,l2,10,52.0,1.03998,3.037,4,0.9
AffectiveROAD,disr,l2,10,52.0,0.93033,2.722,4,0.2
AffectiveROAD,disr,l2,10,55.0,0.37408,1.089,4,0.5
AffectiveROAD,disr,l2,10,52.0,1.01643,2.973,4,0.9
AffectiveROAD,disr,l2,10,51.0,0.40562,1.182,4,0.2
AffectiveROAD,disr,l2,10,58.0,0.81083,2.369,4,0.5
AffectiveROAD,disr,l2,10,53.0,0.3354,0.9757,4,0.9
AffectiveROAD,disr,l2,10,53.0,1.16732,3.414,4,0.2
AffectiveROAD,disr,l2,10,52.0,1.25448,3.665,4,0.5
AffectiveROAD,disr,l2,10,52.0,1.13465,3.313,4,0.9
AffectiveROAD,disr,l2,10,59.0,0.29426,0.8568,4,0.2
AffectiveROAD,disr,l2,10,58.0,0.33026,0.9647,4,0.5
AffectiveROAD,disr,l2,10,52.0,0.29616,0.8615,4,0.9
AffectiveROAD,disr,l2,10,52.0,2.55784,7.331,6,0.2
AffectiveROAD,disr,l2,10,55.0,2.40114,6.88,6,0.5
AffectiveROAD,disr,l2,10,57.0,2.58321,7.397,6,0.9
AffectiveROAD,disr,l2,10,58.0,2.8126,8.031,6,0.2
AffectiveROAD,disr,l2,10,61.0,2.58068,7.392,6,0.5
AffectiveROAD,disr,l2,10,63.0,4.63616,13.3,6,0.9
AffectiveROAD,disr,l2,10,85.0,4.48656,12.9,6,0.2
AffectiveROAD,disr,l2,10,56.0,3.18542,9.131,6,0.5
AffectiveROAD,disr,l2,10,82.0,4.89203,14.0,6,0.9
AffectiveROAD,disr,l2,10,55.0,1.99982,5.662,6,0.2
AffectiveROAD,disr,l2,10,89.0,2.95691,8.465,6,0.5
AffectiveROAD,disr,l2,10,70.0,1.71915,4.869,6,0.9
AffectiveROAD,disr,l2,10,79.0,6.07292,17.2,6,0.2
AffectiveROAD,disr,l2,10,78.0,5.86823,16.6,6,0.5
AffectiveROAD,disr,l2,10,75.0,5.50877,15.7,6,0.9
AffectiveROAD,disr,l2,10,62.0,1.97756,5.668,6,0.2
AffectiveROAD,disr,l2,10,68.0,2.06736,5.923,6,0.5
AffectiveROAD,disr,l2,10,65.0,2.03939,5.853,6,0.9
AffectiveROAD,disr,l2,10,82.0,5.82369,16.7,8,0.2
AffectiveROAD,disr,l2,10,81.0,5.47722,15.7,8,0.5
AffectiveROAD,disr,l2,10,83.0,5.87683,16.8,8,0.9
AffectiveROAD,disr,l2,10,86.0,6.24772,17.8,8,0.2
AffectiveROAD,disr,l2,10,76.0,6.04259,17.3,8,0.5
AffectiveROAD,disr,l2,10,89.0,9.01985,25.8,8,0.9
AffectiveROAD,disr,l2,10,91.0,9.51123,27.3,8,0.2
AffectiveROAD,disr,l2,10,88.0,7.51158,21.5,8,0.5
AffectiveROAD,disr,l2,10,92.0,9.95054,28.4,8,0.9
AffectiveROAD,disr,l2,10,89.0,5.05898,14.4,8,0.2
AffectiveROAD,disr,l2,10,93.0,5.75288,16.5,8,0.5
AffectiveROAD,disr,l2,10,88.0,4.44019,12.7,8,0.9
